Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_1206_HandSoldering",12.225000,-70.150000,0.000000,top
"C3","100n","C_1206_HandSoldering",66.176000,-82.838000,90.000000,top
"C4","100n","C_1206_HandSoldering",69.076000,-82.838000,90.000000,top
"C6","100n","C_1206_HandSoldering",73.925000,-93.485000,90.000000,top
"C8","100n","C_1206_HandSoldering",89.276000,-77.638000,180.000000,top
"C9","100n","C_1206_HandSoldering",85.651000,-72.963000,270.000000,top
"C10","100n","C_1206_HandSoldering",82.751000,-72.963000,270.000000,top
"C11","10u","C_1206_HandSoldering",65.526000,-71.313000,180.000000,top
"C12","100n","C_1206_HandSoldering",65.526000,-74.263000,180.000000,top
"C14","100n","C_1206_HandSoldering",91.526000,-94.838000,180.000000,top
"C15","10u","C_1206_HandSoldering",73.926000,-73.038000,90.000000,top
"C16","100n","C_1206_HandSoldering",78.376000,-67.788000,0.000000,top
"C17","100n","C_1206_HandSoldering",71.126000,-73.038000,90.000000,top
"C18","3n3, <20%","C_1206_HandSoldering",86.726000,-85.738000,180.000000,top
"C19","56n, <20%","C_1206_HandSoldering",86.726000,-83.088000,180.000000,top
"C22","1u/16V","C_1206_HandSoldering",90.851000,-17.263000,0.000000,top
"C23","1u/16V","C_1206_HandSoldering",95.201000,-10.638000,270.000000,top
"C24","0u1/50V","C_1206_HandSoldering",75.386000,-13.428000,90.000000,top
"C25","1u/16V","C_1206_HandSoldering",70.656000,-13.428000,90.000000,top
"C26","1u/16V","C_1206_HandSoldering",69.701000,-24.743000,180.000000,top
"C27","1u/16V","C_1206_HandSoldering",69.676000,-21.468000,180.000000,top
"C28","1u/16V","C_1206_HandSoldering",66.676000,-29.268000,180.000000,top
"C29","0u22/25V","C_0805_HandSoldering",42.926000,-19.663000,0.000000,top
"C30","1u/16V","C_1206_HandSoldering",57.326000,-27.163000,0.000000,top
"C31","0u1/50V","C_1206_HandSoldering",51.306000,-27.968000,270.000000,top
"C32","0u1/50V","C_1206_HandSoldering",51.376000,-8.488000,90.000000,top
"C33","0u22/25V","C_0805_HandSoldering",49.826000,-22.318000,0.000000,top
"C34","0u22/25V","C_0805_HandSoldering",49.801000,-14.988000,0.000000,top
"C35","0u22/25V","C_0805_HandSoldering",42.901000,-17.513000,0.000000,top
"C36","4u7/50V","C_1206_HandSoldering",46.098200,-31.897000,180.000000,top
"C37","4u7/50V","C_1206_HandSoldering",46.551000,-4.438000,180.000000,top
"C38","0u68/50V","C_1206_HandSoldering",14.551000,-32.488000,270.000000,top
"C39","0u68/50V","C_1206_HandSoldering",18.576000,-25.563000,270.000000,top
"C40","0u68/50V","C_1206_HandSoldering",18.451000,-16.788000,270.000000,top
"C41","0u68/50V","C_1206_HandSoldering",14.101000,-6.838000,90.000000,top
"C42","100n","C_1206_HandSoldering",118.301000,-40.213000,90.000000,top
"C43","100n","C_1206_HandSoldering",120.435999,-57.473000,270.000000,top
"C46","10n","C_1206_HandSoldering",127.051000,-40.213000,90.000000,top
