"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"P7,P8";"Pin_Header_Straight_2x03";2;"Pin_Header_Straight_2x03";;;
2;"JP1,JP2";"Pin_Header_Straight_1x03";2;"Pin_Header_Straight_1x03";;;
3;"P5";"IDC_Header_Straight_16pins";1;"STDCONN";;;
4;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";"Via";209;"";;;
5;"U1";"LQFP-48_7x7mm_Pitch0.5mm";1;"ADAU1701";;;
6;"P12";"FC684205_R_T";1;"FCR684205R";;;
7;"C79,C24,C31,C32,C71,C78";"C_1206_HandSoldering";6;"0u1/50V";;;
8;"C1,C3,C4,C6,C8,C9,C10,C12,C14,C16,C17,C42,C43,C47,C48,C50,C53,C54,C56,C60,C64,C66,C90";"C_1206_HandSoldering";23;"100n";;;
9;"C2,C5,C7,C13,C44,C45,C49";"C_Radial_D5_L11_P2";7;"10u";;;
10;"C11,C15,C61,C63,C67,C68,C89";"C_1206_HandSoldering";7;"10u";;;
11;"C18";"C_1206_HandSoldering";1;"3n3, <20%";;;
12;"C19";"C_1206_HandSoldering";1;"56n, <20%";;;
13;"C20,C21";"C_Radial_D5_L11_P2";2;"47u";;;
14;"C22,C23,C25,C26,C27,C28,C30,C69,C70,C72,C73,C74,C75,C77";"C_1206_HandSoldering";14;"1u/16V";;;
15;"C36,C37,C83,C84";"C_1206_HandSoldering";4;"4u7/50V";;;
16;"C38,C39,C40,C41,C85,C86,C87,C88";"C_1206_HandSoldering";8;"0u68/50V";;;
17;"C46,C58,C51,C52,C57,C59,C91";"C_1206_HandSoldering";7;"10n";;;
18;"C55";"C_1206_HandSoldering";1;"30p";;;
19;"C65";"C_1206_HandSoldering";1;"150n";;;
20;"D1,D2,D8";"SMA";3;"B150";;;
21;"D3,D4,D5,D9";"R_1206_HandSoldering";4;"LED_RED";;;
22;"D7";"SMA";1;"SMAJ28CA";;;
23;"D10";"R_1206_HandSoldering";1;"LED_GREEN";;;
24;"F1";"R_1206_HandSoldering";1;"MF-NSML550-2";;;
25;"FB1,FB2";"R_0603_HandSoldering";2;"BLM18PG471SN1";;;
26;"FB3";"C_0805_HandSoldering";1;"330";;;
27;"J1,J2,J3,J4";"RCA_RCJ-01x";4;"RCA_01";;;
28;"L1,L2,L3,L4,L6,L7,L8,L9";"1D10ASeries";8;"10u";;;
29;"P1";"Pin_Header_Straight_1x06";1;"CONN_01X06";;;
30;"P2";"Pin_Header_Straight_1x04";1;"CONN_01X04";;;
31;"P3,P31";"Pin_Header_Straight_1x03";2;"CONN_01X03";;;
